epoch,loss,bce,sep,val_balanced_accuracy,val_anomaly_recall,val_normal_fpr,val_auroc,val_event_top3_recall
38,0.04260777850094792,0.042262651514704826,0.0034512623906838937,0.9375,0.9375,0.0625,0.9453125,1.0
39,0.025841039143033796,0.025462088337936603,0.0037895124177676396,0.90625,0.9375,0.125,0.9453125,1.0
40,0.038108691273556726,0.03769374854042084,0.0041494269275686125,0.9375,0.9375,0.0625,0.9453125,1.0
41,0.029046141757414892,0.028601417435215902,0.004447245006482085,0.9375,0.9375,0.0625,0.9453125,1.0
42,0.03177512148590563,0.0313041141693044,0.004710083205409192,0.9375,0.9375,0.0625,0.9453125,1.0
43,0.02840938513538429,0.027918245114216752,0.004911404477523549,0.9375,0.9375,0.0625,0.94140625,1.0
44,0.029365135161401507,0.028862083395877917,0.005030518518174654,0.9375,0.9375,0.0625,0.94140625,1.0
45,0.018128593035459103,0.017615443688224663,0.005131490235509989,0.9375,0.9375,0.0625,0.94921875,1.0
46,0.03502801366449965,0.03450164215482928,0.005263723690271169,0.9375,0.9375,0.0625,0.9453125,1.0
47,0.024205439782642817,0.02367395415276914,0.005314854116967091,0.875,0.9375,0.1875,0.9453125,1.0
48,0.0365602679133832,0.03602991491504066,0.005303520800454633,0.875,0.9375,0.1875,0.9453125,1.0
49,0.04751216757951395,0.046982077347648726,0.005300911905413324,0.90625,0.9375,0.125,0.94921875,1.0
50,0.03665264287859306,0.036115503646889244,0.00537138654348942,0.9375,0.9375,0.0625,0.95703125,1.0
51,0.042784318210674334,0.04224056673685571,0.0054375092707365956,0.9375,0.9375,0.0625,0.9453125,1.0
52,0.03259710434798177,0.03206821416433041,0.005288910368209952,0.875,0.9375,0.1875,0.94921875,1.0
53,0.02218465105845378,0.02167197374197153,0.005126772217218067,0.9375,0.9375,0.0625,0.953125,1.0
54,0.02524871849357248,0.02473877409922441,0.00509944228924342,0.9375,0.9375,0.0625,0.95703125,1.0
55,0.028940153783643164,0.028430727365837023,0.005094254369867015,0.9375,0.9375,0.0625,0.953125,1.0
56,0.021893134827471593,0.02138842988459693,0.005047049539463295,0.90625,0.9375,0.125,0.953125,1.0
57,0.027620095994089034,0.027115834447053764,0.005042609618651075,0.90625,0.9375,0.125,0.953125,1.0
58,0.026402349707546766,0.025894471268345425,0.0050787864695791595,0.9375,0.9375,0.0625,0.953125,1.0
59,0.03299286210961588,0.03248855027116158,0.005043118899049875,0.9375,0.9375,0.0625,0.953125,1.0
